AAPL
MSFT
MYL
PLUG
FCEL
GILD
INTC
AMZN
NVDA
MBRX
INAP
RAND
NFLX
NYMT
SBUX
CSCO
PENN
MRNA
PSEC
AMAT
AGNC
CENX
QCOM
GPRO
SHIP
WYNN
BLDP
EXPE
NVAX
NCMI
OSTK
